"subject","video_set","emotion","acc"
"01dkf6na","ADFES","surprise",1
"01dkf6na","ADFES","anger",1
"01dkf6na","ADFES","disgust",0.875
"01dkf6na","ADFES","sadness",0.75
"01dkf6na","ADFES","fear",0.75
"01dkf6na","ADFES","happiness",0.75
"01dkf6na","JeFEE","surprise",0.5
"01dkf6na","JeFEE","anger",0.375
"01dkf6na","JeFEE","disgust",0.25
"01dkf6na","JeFEE","sadness",0.375
"01dkf6na","JeFEE","fear",0.125
"01dkf6na","JeFEE","happiness",0
"02rvvdck","ADFES","surprise",0.625
"02rvvdck","ADFES","anger",1
"02rvvdck","ADFES","disgust",0.875
"02rvvdck","ADFES","sadness",0.5
"02rvvdck","ADFES","fear",0.875
"02rvvdck","ADFES","happiness",0.875
"02rvvdck","JeFEE","surprise",0.25
"02rvvdck","JeFEE","anger",0.375
"02rvvdck","JeFEE","disgust",0.875
"02rvvdck","JeFEE","sadness",0.125
"02rvvdck","JeFEE","fear",0.375
"02rvvdck","JeFEE","happiness",0.75
"05vna3n7","ADFES","surprise",1
"05vna3n7","ADFES","anger",0.875
"05vna3n7","ADFES","disgust",0.75
"05vna3n7","ADFES","sadness",1
"05vna3n7","ADFES","fear",0.875
"05vna3n7","ADFES","happiness",1
"05vna3n7","JeFEE","surprise",0.375
"05vna3n7","JeFEE","anger",1
"05vna3n7","JeFEE","disgust",0.625
"05vna3n7","JeFEE","sadness",0.75
"05vna3n7","JeFEE","fear",0.75
"05vna3n7","JeFEE","happiness",1
"0dj4xrwz","ADFES","surprise",1
"0dj4xrwz","ADFES","anger",1
"0dj4xrwz","ADFES","disgust",0.25
"0dj4xrwz","ADFES","sadness",0.875
"0dj4xrwz","ADFES","fear",0.5
"0dj4xrwz","ADFES","happiness",1
"0dj4xrwz","JeFEE","surprise",0.25
"0dj4xrwz","JeFEE","anger",0.5
"0dj4xrwz","JeFEE","disgust",0.5
"0dj4xrwz","JeFEE","sadness",0.5
"0dj4xrwz","JeFEE","fear",0.75
"0dj4xrwz","JeFEE","happiness",0.75
"1bky7pq2","ADFES","surprise",0.5
"1bky7pq2","ADFES","anger",0.875
"1bky7pq2","ADFES","disgust",0.75
"1bky7pq2","ADFES","sadness",0.625
"1bky7pq2","ADFES","fear",0.285714285714286
"1bky7pq2","ADFES","happiness",0.375
"1bky7pq2","JeFEE","surprise",0.25
"1bky7pq2","JeFEE","anger",0.625
"1bky7pq2","JeFEE","disgust",0.5
"1bky7pq2","JeFEE","sadness",0.125
"1bky7pq2","JeFEE","fear",0
"1bky7pq2","JeFEE","happiness",0.375
"1jesbvms","ADFES","surprise",0.875
"1jesbvms","ADFES","anger",1
"1jesbvms","ADFES","disgust",0.875
"1jesbvms","ADFES","sadness",0.5
"1jesbvms","ADFES","fear",0.75
"1jesbvms","ADFES","happiness",1
"1jesbvms","JeFEE","surprise",0.875
"1jesbvms","JeFEE","anger",0.875
"1jesbvms","JeFEE","disgust",0.75
"1jesbvms","JeFEE","sadness",0.25
"1jesbvms","JeFEE","fear",0.625
"1jesbvms","JeFEE","happiness",0.625
"1jtd23n7","ADFES","surprise",1
"1jtd23n7","ADFES","anger",0.857142857142857
"1jtd23n7","ADFES","disgust",1
"1jtd23n7","ADFES","sadness",1
"1jtd23n7","ADFES","fear",0.625
"1jtd23n7","ADFES","happiness",0.875
"1jtd23n7","JeFEE","surprise",0.625
"1jtd23n7","JeFEE","anger",0.75
"1jtd23n7","JeFEE","disgust",0.625
"1jtd23n7","JeFEE","sadness",0.375
"1jtd23n7","JeFEE","fear",0.375
"1jtd23n7","JeFEE","happiness",0.75
"1m3o7vtx","ADFES","surprise",1
"1m3o7vtx","ADFES","anger",0.875
"1m3o7vtx","ADFES","disgust",0.5
"1m3o7vtx","ADFES","sadness",0.5
"1m3o7vtx","ADFES","fear",0.5
"1m3o7vtx","ADFES","happiness",1
"1m3o7vtx","JeFEE","surprise",0.625
"1m3o7vtx","JeFEE","anger",0.625
"1m3o7vtx","JeFEE","disgust",0.125
"1m3o7vtx","JeFEE","sadness",0.5
"1m3o7vtx","JeFEE","fear",0.75
"1m3o7vtx","JeFEE","happiness",0.75
"230qxghj","ADFES","surprise",0.875
"230qxghj","ADFES","anger",1
"230qxghj","ADFES","disgust",0.625
"230qxghj","ADFES","sadness",0.625
"230qxghj","ADFES","fear",0.625
"230qxghj","ADFES","happiness",0.625
"230qxghj","JeFEE","surprise",0.75
"230qxghj","JeFEE","anger",0.875
"230qxghj","JeFEE","disgust",0.125
"230qxghj","JeFEE","sadness",0.25
"230qxghj","JeFEE","fear",0.375
"230qxghj","JeFEE","happiness",0.625
"23un4xk0","ADFES","surprise",1
"23un4xk0","ADFES","anger",1
"23un4xk0","ADFES","disgust",0.375
"23un4xk0","ADFES","sadness",0.625
"23un4xk0","ADFES","fear",1
"23un4xk0","ADFES","happiness",0.75
"23un4xk0","JeFEE","surprise",1
"23un4xk0","JeFEE","anger",0.75
"23un4xk0","JeFEE","disgust",0.25
"23un4xk0","JeFEE","sadness",0.5
"23un4xk0","JeFEE","fear",0.75
"23un4xk0","JeFEE","happiness",0.375
"2bq4gp56","ADFES","surprise",1
"2bq4gp56","ADFES","anger",0.875
"2bq4gp56","ADFES","disgust",0.875
"2bq4gp56","ADFES","sadness",1
"2bq4gp56","ADFES","fear",1
"2bq4gp56","ADFES","happiness",1
"2bq4gp56","JeFEE","surprise",1
"2bq4gp56","JeFEE","anger",0.625
"2bq4gp56","JeFEE","disgust",0.625
"2bq4gp56","JeFEE","sadness",0.625
"2bq4gp56","JeFEE","fear",0.875
"2bq4gp56","JeFEE","happiness",1
"2d7emjn8","ADFES","surprise",1
"2d7emjn8","ADFES","anger",1
"2d7emjn8","ADFES","disgust",1
"2d7emjn8","ADFES","sadness",0.75
"2d7emjn8","ADFES","fear",0.875
"2d7emjn8","ADFES","happiness",0.875
"2d7emjn8","JeFEE","surprise",0.625
"2d7emjn8","JeFEE","anger",0.5
"2d7emjn8","JeFEE","disgust",0.625
"2d7emjn8","JeFEE","sadness",0.625
"2d7emjn8","JeFEE","fear",0.5
"2d7emjn8","JeFEE","happiness",0
"3nsxj3yf","ADFES","surprise",0.875
"3nsxj3yf","ADFES","anger",0.75
"3nsxj3yf","ADFES","disgust",0.625
"3nsxj3yf","ADFES","sadness",0.625
"3nsxj3yf","ADFES","fear",0.875
"3nsxj3yf","ADFES","happiness",0.875
"3nsxj3yf","JeFEE","surprise",0.5
"3nsxj3yf","JeFEE","anger",0.75
"3nsxj3yf","JeFEE","disgust",0.625
"3nsxj3yf","JeFEE","sadness",0.25
"3nsxj3yf","JeFEE","fear",0.375
"3nsxj3yf","JeFEE","happiness",0.125
"473syksy","ADFES","surprise",1
"473syksy","ADFES","anger",0.75
"473syksy","ADFES","disgust",0.75
"473syksy","ADFES","sadness",1
"473syksy","ADFES","fear",0.375
"473syksy","ADFES","happiness",1
"473syksy","JeFEE","surprise",1
"473syksy","JeFEE","anger",0.875
"473syksy","JeFEE","disgust",0.625
"473syksy","JeFEE","sadness",0.125
"473syksy","JeFEE","fear",0.25
"473syksy","JeFEE","happiness",0.375
"4ho7pfhd","ADFES","surprise",1
"4ho7pfhd","ADFES","anger",1
"4ho7pfhd","ADFES","disgust",0.75
"4ho7pfhd","ADFES","sadness",0.875
"4ho7pfhd","ADFES","fear",1
"4ho7pfhd","ADFES","happiness",1
"4ho7pfhd","JeFEE","surprise",1
"4ho7pfhd","JeFEE","anger",0.875
"4ho7pfhd","JeFEE","disgust",0.875
"4ho7pfhd","JeFEE","sadness",0.25
"4ho7pfhd","JeFEE","fear",0.75
"4ho7pfhd","JeFEE","happiness",0.625
"4ovd9i0b","ADFES","surprise",1
"4ovd9i0b","ADFES","anger",0.625
"4ovd9i0b","ADFES","disgust",0.5
"4ovd9i0b","ADFES","sadness",0.75
"4ovd9i0b","ADFES","fear",0.375
"4ovd9i0b","ADFES","happiness",1
"4ovd9i0b","JeFEE","surprise",0.125
"4ovd9i0b","JeFEE","anger",0.375
"4ovd9i0b","JeFEE","disgust",0.5
"4ovd9i0b","JeFEE","sadness",0
"4ovd9i0b","JeFEE","fear",0
"4ovd9i0b","JeFEE","happiness",0.375
"4ovdiwho","ADFES","surprise",1
"4ovdiwho","ADFES","anger",1
"4ovdiwho","ADFES","disgust",1
"4ovdiwho","ADFES","sadness",0.625
"4ovdiwho","ADFES","fear",1
"4ovdiwho","ADFES","happiness",0.875
"4ovdiwho","JeFEE","surprise",0.625
"4ovdiwho","JeFEE","anger",0.875
"4ovdiwho","JeFEE","disgust",0.5
"4ovdiwho","JeFEE","sadness",0.375
"4ovdiwho","JeFEE","fear",0.625
"4ovdiwho","JeFEE","happiness",0.625
"60jre6xi","ADFES","surprise",1
"60jre6xi","ADFES","anger",0.875
"60jre6xi","ADFES","disgust",0.625
"60jre6xi","ADFES","sadness",0.75
"60jre6xi","ADFES","fear",0.625
"60jre6xi","ADFES","happiness",1
"60jre6xi","JeFEE","surprise",0.125
"60jre6xi","JeFEE","anger",0.75
"60jre6xi","JeFEE","disgust",0.75
"60jre6xi","JeFEE","sadness",0.75
"60jre6xi","JeFEE","fear",0.375
"60jre6xi","JeFEE","happiness",0.75
"63q8b4gk","ADFES","surprise",1
"63q8b4gk","ADFES","anger",0.875
"63q8b4gk","ADFES","disgust",1
"63q8b4gk","ADFES","sadness",0.75
"63q8b4gk","ADFES","fear",0.875
"63q8b4gk","ADFES","happiness",1
"63q8b4gk","JeFEE","surprise",0.625
"63q8b4gk","JeFEE","anger",0.875
"63q8b4gk","JeFEE","disgust",0.875
"63q8b4gk","JeFEE","sadness",0.5
"63q8b4gk","JeFEE","fear",0.5
"63q8b4gk","JeFEE","happiness",0.875
"79o97uw1","ADFES","surprise",1
"79o97uw1","ADFES","anger",1
"79o97uw1","ADFES","disgust",0.875
"79o97uw1","ADFES","sadness",0.75
"79o97uw1","ADFES","fear",1
"79o97uw1","ADFES","happiness",0.75
"79o97uw1","JeFEE","surprise",0.25
"79o97uw1","JeFEE","anger",0.625
"79o97uw1","JeFEE","disgust",0.5
"79o97uw1","JeFEE","sadness",0.25
"79o97uw1","JeFEE","fear",0.625
"79o97uw1","JeFEE","happiness",0.375
"7lgboipc","ADFES","surprise",0.875
"7lgboipc","ADFES","anger",0.625
"7lgboipc","ADFES","disgust",0.5
"7lgboipc","ADFES","sadness",0.625
"7lgboipc","ADFES","fear",0.25
"7lgboipc","ADFES","happiness",0.875
"7lgboipc","JeFEE","surprise",0.75
"7lgboipc","JeFEE","anger",0.375
"7lgboipc","JeFEE","disgust",0.375
"7lgboipc","JeFEE","sadness",0.125
"7lgboipc","JeFEE","fear",0.375
"7lgboipc","JeFEE","happiness",0.25
"8jun19d5","ADFES","surprise",1
"8jun19d5","ADFES","anger",0.875
"8jun19d5","ADFES","disgust",0.5
"8jun19d5","ADFES","sadness",0.625
"8jun19d5","ADFES","fear",0.5
"8jun19d5","ADFES","happiness",1
"8jun19d5","JeFEE","surprise",0.75
"8jun19d5","JeFEE","anger",0.625
"8jun19d5","JeFEE","disgust",0.375
"8jun19d5","JeFEE","sadness",0.75
"8jun19d5","JeFEE","fear",0.375
"8jun19d5","JeFEE","happiness",0.5
"8u9fcv0x","ADFES","surprise",1
"8u9fcv0x","ADFES","anger",1
"8u9fcv0x","ADFES","disgust",0.75
"8u9fcv0x","ADFES","sadness",0.625
"8u9fcv0x","ADFES","fear",0.625
"8u9fcv0x","ADFES","happiness",0.625
"8u9fcv0x","JeFEE","surprise",0.5
"8u9fcv0x","JeFEE","anger",0.875
"8u9fcv0x","JeFEE","disgust",0.75
"8u9fcv0x","JeFEE","sadness",0.25
"8u9fcv0x","JeFEE","fear",0.25
"8u9fcv0x","JeFEE","happiness",0.75
"8um8sps9","ADFES","surprise",1
"8um8sps9","ADFES","anger",0.857142857142857
"8um8sps9","ADFES","disgust",0.625
"8um8sps9","ADFES","sadness",0.75
"8um8sps9","ADFES","fear",0.75
"8um8sps9","ADFES","happiness",1
"8um8sps9","JeFEE","surprise",0.625
"8um8sps9","JeFEE","anger",0.875
"8um8sps9","JeFEE","disgust",0.625
"8um8sps9","JeFEE","sadness",0.75
"8um8sps9","JeFEE","fear",0.875
"8um8sps9","JeFEE","happiness",0.5
"8y0jbvqm","ADFES","surprise",1
"8y0jbvqm","ADFES","anger",1
"8y0jbvqm","ADFES","disgust",1
"8y0jbvqm","ADFES","sadness",1
"8y0jbvqm","ADFES","fear",0.25
"8y0jbvqm","ADFES","happiness",1
"8y0jbvqm","JeFEE","surprise",0.75
"8y0jbvqm","JeFEE","anger",0.875
"8y0jbvqm","JeFEE","disgust",0.75
